Epoch   1 : Train Acc:   3.1%, Dev Acc:   9.4%, Dev Loss: 0.477
Epoch   2 : Train Acc:  84.4%, Dev Acc:  46.9%, Dev Loss: 0.335
Epoch   3 : Train Acc:  84.4%, Dev Acc:  56.2%, Dev Loss: 0.290
Epoch   4 : Train Acc:  87.5%, Dev Acc:  68.8%, Dev Loss: 0.221
Epoch   5 : Train Acc:  90.6%, Dev Acc:  81.2%, Dev Loss: 0.178
Epoch   6 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.145
Epoch   7 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.128
Epoch   8 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.120
Epoch   9 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.104
Epoch  10 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.089
Epoch  11 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.078
Epoch  12 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.074
Epoch  13 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.108
Epoch  14 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.097
Epoch  15 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.087
Epoch  16 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.075
Epoch  17 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.063
Epoch  18 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.062
Epoch  19 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.059
Epoch  20 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.060
Epoch  21 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.065
Epoch  22 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.071
Epoch  23 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.074
Epoch  24 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.072
Epoch  25 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.086
Epoch  26 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.071
Epoch  27 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.069
Epoch  28 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.082
Epoch  29 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.075
Epoch  30 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.073
Epoch  31 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.066
Epoch  32 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.064
Epoch  33 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.065
Epoch  34 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.058
Epoch  35 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.084
Epoch  36 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.077
Epoch  37 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.084
Epoch  38 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.096
Epoch  39 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.112
