Epoch   1 : Train Acc:  25.0%, Dev Acc:  25.0%, Dev Loss: 0.708, Time: 3.6202070713043213
Epoch   2 : Train Acc:  53.1%, Dev Acc:  43.8%, Dev Loss: 0.358, Time: 30.21072793006897
Epoch   3 : Train Acc:  56.2%, Dev Acc:  59.4%, Dev Loss: 0.307, Time: 55.092151165008545
Epoch   4 : Train Acc:  65.6%, Dev Acc:  68.8%, Dev Loss: 0.260, Time: 79.9975757598877
Epoch   5 : Train Acc:  68.8%, Dev Acc:  78.1%, Dev Loss: 0.207, Time: 104.91600108146667
Epoch   6 : Train Acc:  68.8%, Dev Acc:  75.0%, Dev Loss: 0.176, Time: 129.80942463874817
Epoch   7 : Train Acc:  68.8%, Dev Acc:  81.2%, Dev Loss: 0.157, Time: 154.76585221290588
Epoch   8 : Train Acc:  75.0%, Dev Acc:  81.2%, Dev Loss: 0.146, Time: 179.69427824020386
Epoch   9 : Train Acc:  75.0%, Dev Acc:  84.4%, Dev Loss: 0.135, Time: 204.66570615768433
Epoch  10 : Train Acc:  78.1%, Dev Acc:  87.5%, Dev Loss: 0.133, Time: 229.60413265228271
Epoch  11 : Train Acc:  84.4%, Dev Acc:  87.5%, Dev Loss: 0.134, Time: 254.57856106758118
Epoch  12 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.135, Time: 279.53398871421814
Epoch  13 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.137, Time: 304.5394186973572
Epoch  14 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.139, Time: 329.49484610557556
Epoch  15 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.144, Time: 354.4742748737335
Epoch  16 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.150, Time: 379.4467031955719
Epoch  17 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.155, Time: 404.45313358306885
Epoch  18 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.158, Time: 429.3905596733093
Epoch  19 : Train Acc:  84.4%, Dev Acc:  87.5%, Dev Loss: 0.167, Time: 454.3899896144867
Epoch  20 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.177, Time: 479.33741664886475
Epoch  21 : Train Acc:  84.4%, Dev Acc:  90.6%, Dev Loss: 0.195, Time: 504.31484508514404
Epoch  22 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.215, Time: 529.2772731781006
Epoch  23 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.259, Time: 554.23970079422
Epoch  24 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.272, Time: 579.1841275691986
Epoch  25 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.214, Time: 604.1615562438965
Epoch  26 : Train Acc:  90.6%, Dev Acc:  90.6%, Dev Loss: 0.209, Time: 629.1059827804565
Epoch  27 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.261, Time: 654.1114132404327
Epoch  28 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.268, Time: 679.2328498363495
Epoch  29 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.288, Time: 704.2782824039459
Epoch  30 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.324, Time: 729.296713590622
Epoch  31 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.354, Time: 754.3161444664001
Epoch  32 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.398, Time: 779.3495764732361
Epoch  33 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.421, Time: 804.3330054283142
Epoch  34 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.409, Time: 829.3794379234314
Epoch  35 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.438, Time: 854.3368651866913
Epoch  36 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.409, Time: 879.2872924804688
Epoch  37 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.355, Time: 904.2087178230286
Epoch  38 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.341, Time: 929.2351493835449
Epoch  39 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.327, Time: 954.277581691742
Epoch  40 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.340, Time: 979.2370090484619
Epoch  41 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.324, Time: 1004.2564404010773
Epoch  42 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.287, Time: 1029.2548699378967
Epoch  43 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.277, Time: 1054.1872961521149
Epoch  44 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.285, Time: 1079.1327228546143
Epoch  45 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.339, Time: 1104.282161474228
Epoch  46 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.403, Time: 1129.3715965747833
Epoch  47 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.404, Time: 1154.3220233917236
Epoch  48 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.422, Time: 1179.3074526786804
Epoch  49 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.442, Time: 1204.2968819141388
Epoch  50 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.459, Time: 1229.2903113365173
Epoch  51 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.458, Time: 1254.2627398967743
Epoch  52 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.462, Time: 1279.2471687793732
Epoch  53 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.472, Time: 1304.2265975475311
Epoch  54 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.473, Time: 1329.270029783249
Epoch  55 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.500, Time: 1354.2694599628448
Epoch  56 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.505, Time: 1379.252888917923
Epoch  57 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.516, Time: 1404.2543189525604
Epoch  58 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.517, Time: 1429.20574593544
Epoch  59 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.529, Time: 1454.1281714439392
Epoch  60 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.536, Time: 1479.0545971393585
Epoch  61 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.539, Time: 1503.9770226478577
Epoch  62 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.562, Time: 1528.9774525165558
Epoch  63 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.568, Time: 1553.9568815231323
Epoch  64 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.552, Time: 1578.8703062534332
Epoch  65 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.540, Time: 1603.809732913971
Epoch  66 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.536, Time: 1628.7671604156494
