Epoch   1 : Train Acc:  15.6%, Dev Acc:   9.4%, Dev Loss: 0.691, Time: 3.928224563598633
Epoch   2 : Train Acc:  43.8%, Dev Acc:  34.4%, Dev Loss: 0.372, Time: 38.66621160507202
Epoch   3 : Train Acc:  62.5%, Dev Acc:  56.2%, Dev Loss: 0.318, Time: 71.29607772827148
Epoch   4 : Train Acc:  65.6%, Dev Acc:  62.5%, Dev Loss: 0.260, Time: 104.01494932174683
Epoch   5 : Train Acc:  78.1%, Dev Acc:  68.8%, Dev Loss: 0.238, Time: 136.7588222026825
Epoch   6 : Train Acc:  90.6%, Dev Acc:  68.8%, Dev Loss: 0.235, Time: 169.58569955825806
Epoch   7 : Train Acc:  93.8%, Dev Acc:  75.0%, Dev Loss: 0.235, Time: 202.37957525253296
Epoch   8 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.206, Time: 235.19245195388794
Epoch   9 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.192, Time: 268.0003287792206
Epoch  10 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.186, Time: 300.87420892715454
Epoch  11 : Train Acc:  93.8%, Dev Acc:  81.2%, Dev Loss: 0.187, Time: 333.7340884208679
Epoch  12 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.189, Time: 366.60796880722046
Epoch  13 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.191, Time: 399.4248456954956
Epoch  14 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.199, Time: 432.17271876335144
Epoch  15 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.204, Time: 464.98859572410583
Epoch  16 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.207, Time: 497.8434748649597
Epoch  17 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.208, Time: 530.6663522720337
Epoch  18 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.207, Time: 563.4782290458679
Epoch  19 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.206, Time: 596.3001062870026
Epoch  20 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.209, Time: 629.1809871196747
Epoch  21 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.208, Time: 661.9948637485504
Epoch  22 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.202, Time: 694.8847448825836
Epoch  23 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.199, Time: 727.7076222896576
Epoch  24 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.194, Time: 760.6355056762695
Epoch  25 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.193, Time: 793.5293872356415
Epoch  26 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.212, Time: 826.4432694911957
Epoch  27 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.222, Time: 859.2971489429474
Epoch  28 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.224, Time: 892.1610286235809
Epoch  29 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.215, Time: 925.002907037735
Epoch  30 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.194, Time: 958.0277960300446
Epoch  31 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.196, Time: 990.8526735305786
