Epoch   1 : Train Acc:  17.2%, Dev Acc:  20.3%, Dev Loss: 0.707, Time: 4.344248533248901
Epoch   2 : Train Acc:  28.1%, Dev Acc:  20.3%, Dev Loss: 0.450, Time: 19.939140558242798
Epoch   3 : Train Acc:  28.1%, Dev Acc:  28.1%, Dev Loss: 0.439, Time: 34.10895109176636
Epoch   4 : Train Acc:  43.8%, Dev Acc:  42.2%, Dev Loss: 0.388, Time: 48.26676082611084
Epoch   5 : Train Acc:  51.6%, Dev Acc:  59.4%, Dev Loss: 0.335, Time: 62.4385712146759
Epoch   6 : Train Acc:  54.7%, Dev Acc:  54.7%, Dev Loss: 0.356, Time: 76.63738346099854
Epoch   7 : Train Acc:  54.7%, Dev Acc:  68.8%, Dev Loss: 0.294, Time: 90.83019518852234
Epoch   8 : Train Acc:  53.1%, Dev Acc:  46.9%, Dev Loss: 0.339, Time: 105.03100752830505
Epoch   9 : Train Acc:  54.7%, Dev Acc:  56.2%, Dev Loss: 0.290, Time: 119.2278196811676
Epoch  10 : Train Acc:  54.7%, Dev Acc:  54.7%, Dev Loss: 0.298, Time: 133.41763138771057
Epoch  11 : Train Acc:  59.4%, Dev Acc:  70.3%, Dev Loss: 0.260, Time: 147.61644315719604
Epoch  12 : Train Acc:  65.6%, Dev Acc:  70.3%, Dev Loss: 0.263, Time: 161.81225538253784
Epoch  13 : Train Acc:  67.2%, Dev Acc:  73.4%, Dev Loss: 0.212, Time: 176.00006651878357
Epoch  14 : Train Acc:  68.8%, Dev Acc:  75.0%, Dev Loss: 0.211, Time: 190.18987822532654
Epoch  15 : Train Acc:  75.0%, Dev Acc:  79.7%, Dev Loss: 0.174, Time: 204.38969039916992
Epoch  16 : Train Acc:  76.6%, Dev Acc:  78.1%, Dev Loss: 0.196, Time: 218.57550191879272
Epoch  17 : Train Acc:  78.1%, Dev Acc:  82.8%, Dev Loss: 0.188, Time: 232.75831294059753
Epoch  18 : Train Acc:  79.7%, Dev Acc:  79.7%, Dev Loss: 0.195, Time: 246.95512509346008
Epoch  19 : Train Acc:  79.7%, Dev Acc:  81.2%, Dev Loss: 0.200, Time: 261.1419367790222
Epoch  20 : Train Acc:  79.7%, Dev Acc:  84.4%, Dev Loss: 0.169, Time: 275.3357484340668
Epoch  21 : Train Acc:  79.7%, Dev Acc:  89.1%, Dev Loss: 0.136, Time: 289.54056096076965
Epoch  22 : Train Acc:  79.7%, Dev Acc:  84.4%, Dev Loss: 0.153, Time: 303.7373728752136
Epoch  23 : Train Acc:  82.8%, Dev Acc:  85.9%, Dev Loss: 0.153, Time: 317.9401853084564
Epoch  24 : Train Acc:  82.8%, Dev Acc:  81.2%, Dev Loss: 0.170, Time: 332.1249966621399
Epoch  25 : Train Acc:  84.4%, Dev Acc:  84.4%, Dev Loss: 0.146, Time: 346.325808763504
Epoch  26 : Train Acc:  89.1%, Dev Acc:  84.4%, Dev Loss: 0.161, Time: 360.50961995124817
Epoch  27 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.113, Time: 374.7234330177307
Epoch  28 : Train Acc:  87.5%, Dev Acc:  85.9%, Dev Loss: 0.132, Time: 388.92724537849426
Epoch  29 : Train Acc:  87.5%, Dev Acc:  90.6%, Dev Loss: 0.111, Time: 403.12505745887756
Epoch  30 : Train Acc:  90.6%, Dev Acc:  85.9%, Dev Loss: 0.145, Time: 417.3258697986603
Epoch  31 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.116, Time: 431.5116810798645
Epoch  32 : Train Acc:  92.2%, Dev Acc:  84.4%, Dev Loss: 0.157, Time: 445.70149278640747
Epoch  33 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.097, Time: 459.89130449295044
Epoch  34 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.118, Time: 474.0861163139343
Epoch  35 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.096, Time: 488.26992750167847
Epoch  36 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.132, Time: 502.4537386894226
Epoch  37 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.103, Time: 516.6495509147644
Epoch  38 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.154, Time: 530.845362663269
Epoch  39 : Train Acc:  92.2%, Dev Acc:  93.8%, Dev Loss: 0.087, Time: 545.0411746501923
Epoch  40 : Train Acc:  92.2%, Dev Acc:  87.5%, Dev Loss: 0.110, Time: 559.2389867305756
Epoch  41 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.093, Time: 573.4297983646393
Epoch  42 : Train Acc:  92.2%, Dev Acc:  87.5%, Dev Loss: 0.125, Time: 587.6396112442017
Epoch  43 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.098, Time: 601.8434236049652
Epoch  44 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.153, Time: 616.0332353115082
Epoch  45 : Train Acc:  92.2%, Dev Acc:  92.2%, Dev Loss: 0.082, Time: 630.2270469665527
Epoch  46 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.106, Time: 644.4258592128754
Epoch  47 : Train Acc:  90.6%, Dev Acc:  89.1%, Dev Loss: 0.094, Time: 658.6626734733582
Epoch  48 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.121, Time: 672.855485200882
Epoch  49 : Train Acc:  89.1%, Dev Acc:  87.5%, Dev Loss: 0.096, Time: 687.1593034267426
Epoch  50 : Train Acc:  89.1%, Dev Acc:  87.5%, Dev Loss: 0.155, Time: 701.3941175937653
Epoch  51 : Train Acc:  89.1%, Dev Acc:  90.6%, Dev Loss: 0.079, Time: 715.6449327468872
Epoch  52 : Train Acc:  89.1%, Dev Acc:  85.9%, Dev Loss: 0.102, Time: 729.86474609375
Epoch  53 : Train Acc:  89.1%, Dev Acc:  89.1%, Dev Loss: 0.094, Time: 744.0845592021942
Epoch  54 : Train Acc:  89.1%, Dev Acc:  87.5%, Dev Loss: 0.116, Time: 758.2963721752167
Epoch  55 : Train Acc:  89.1%, Dev Acc:  89.1%, Dev Loss: 0.093, Time: 772.5181856155396
Epoch  56 : Train Acc:  89.1%, Dev Acc:  87.5%, Dev Loss: 0.157, Time: 786.7980024814606
Epoch  57 : Train Acc:  89.1%, Dev Acc:  90.6%, Dev Loss: 0.080, Time: 801.0718188285828
Epoch  58 : Train Acc:  89.1%, Dev Acc:  85.9%, Dev Loss: 0.098, Time: 815.3536355495453
Epoch  59 : Train Acc:  89.1%, Dev Acc:  89.1%, Dev Loss: 0.098, Time: 829.5784492492676
Epoch  60 : Train Acc:  89.1%, Dev Acc:  85.9%, Dev Loss: 0.116, Time: 843.7932624816895
Epoch  61 : Train Acc:  90.6%, Dev Acc:  89.1%, Dev Loss: 0.092, Time: 858.0070753097534
Epoch  62 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.159, Time: 872.2758915424347
Epoch  63 : Train Acc:  90.6%, Dev Acc:  90.6%, Dev Loss: 0.082, Time: 886.5397071838379
Epoch  64 : Train Acc:  92.2%, Dev Acc:  87.5%, Dev Loss: 0.094, Time: 900.8645267486572
Epoch  65 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.103, Time: 915.1123416423798
Epoch  66 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.119, Time: 929.3181540966034
Epoch  67 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.090, Time: 943.5249667167664
Epoch  68 : Train Acc:  92.2%, Dev Acc:  87.5%, Dev Loss: 0.160, Time: 957.7537806034088
Epoch  69 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.086, Time: 971.9755938053131
Epoch  70 : Train Acc:  92.2%, Dev Acc:  87.5%, Dev Loss: 0.090, Time: 986.1784062385559
Epoch  71 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.106, Time: 1000.406219959259
Epoch  72 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.120, Time: 1014.6240332126617
Epoch  73 : Train Acc:  92.2%, Dev Acc:  90.6%, Dev Loss: 0.090, Time: 1028.8408463001251
Epoch  74 : Train Acc:  90.6%, Dev Acc:  85.9%, Dev Loss: 0.163, Time: 1043.0546593666077
Epoch  75 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.089, Time: 1057.2894735336304
Epoch  76 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.085, Time: 1071.495285987854
Epoch  77 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.112, Time: 1085.7240998744965
Epoch  78 : Train Acc:  92.2%, Dev Acc:  82.8%, Dev Loss: 0.126, Time: 1099.9349129199982
Epoch  79 : Train Acc:  92.2%, Dev Acc:  89.1%, Dev Loss: 0.093, Time: 1114.1407253742218
Epoch  80 : Train Acc:  92.2%, Dev Acc:  85.9%, Dev Loss: 0.166, Time: 1128.3645389080048
Epoch  81 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.094, Time: 1142.5723514556885
Epoch  82 : Train Acc:  95.3%, Dev Acc:  87.5%, Dev Loss: 0.081, Time: 1156.7951650619507
Epoch  83 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.119, Time: 1171.0149784088135
Epoch  84 : Train Acc:  95.3%, Dev Acc:  82.8%, Dev Loss: 0.130, Time: 1185.2347917556763
Epoch  85 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.099, Time: 1199.4356038570404
Epoch  86 : Train Acc:  95.3%, Dev Acc:  85.9%, Dev Loss: 0.167, Time: 1213.6554172039032
Epoch  87 : Train Acc:  95.3%, Dev Acc:  89.1%, Dev Loss: 0.101, Time: 1227.8802309036255
Epoch  88 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.079, Time: 1242.1070446968079
Epoch  89 : Train Acc:  98.4%, Dev Acc:  87.5%, Dev Loss: 0.131, Time: 1256.3238577842712
Epoch  90 : Train Acc:  93.8%, Dev Acc:  82.8%, Dev Loss: 0.148, Time: 1270.5516715049744
Epoch  91 : Train Acc:  93.8%, Dev Acc:  82.8%, Dev Loss: 0.144, Time: 1284.8094868659973
Epoch  92 : Train Acc:  93.8%, Dev Acc:  85.9%, Dev Loss: 0.182, Time: 1299.0893037319183
Epoch  93 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.115, Time: 1313.3491191864014
Epoch  94 : Train Acc:  93.8%, Dev Acc:  90.6%, Dev Loss: 0.091, Time: 1327.5689325332642
Epoch  95 : Train Acc:  95.3%, Dev Acc:  85.9%, Dev Loss: 0.145, Time: 1341.7777454853058
Epoch  96 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.151, Time: 1355.9995589256287
Epoch  97 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.128, Time: 1370.2283728122711
Epoch  98 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.178, Time: 1384.4531862735748
Epoch  99 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.101, Time: 1398.6960010528564
Epoch 100 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.079, Time: 1412.904813528061
Epoch 101 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.105, Time: 1427.1226267814636
Epoch 102 : Train Acc:  95.3%, Dev Acc:  82.8%, Dev Loss: 0.140, Time: 1441.341439962387
Epoch 103 : Train Acc:  95.3%, Dev Acc:  92.2%, Dev Loss: 0.086, Time: 1455.5602533817291
Epoch 104 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.170, Time: 1469.7690660953522
Epoch 105 : Train Acc:  93.8%, Dev Acc:  89.1%, Dev Loss: 0.114, Time: 1483.9708783626556
Epoch 106 : Train Acc:  95.3%, Dev Acc:  90.6%, Dev Loss: 0.079, Time: 1498.1926918029785
Epoch 107 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.111, Time: 1512.4025044441223
Epoch 108 : Train Acc:  95.3%, Dev Acc:  85.9%, Dev Loss: 0.143, Time: 1526.6243178844452
Epoch 109 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.087, Time: 1540.825130224228
Epoch 110 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.178, Time: 1555.0659449100494
Epoch 111 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.125, Time: 1569.2977588176727
Epoch 112 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.080, Time: 1583.5015711784363
Epoch 113 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.115, Time: 1597.7123839855194
Epoch 114 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.154, Time: 1611.9131963253021
Epoch 115 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.090, Time: 1626.1160085201263
Epoch 116 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.190, Time: 1640.329821586609
Epoch 117 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.138, Time: 1654.5416343212128
Epoch 118 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.084, Time: 1668.7374465465546
Epoch 119 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.121, Time: 1682.9312582015991
Epoch 120 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.172, Time: 1697.1300702095032
Epoch 121 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.099, Time: 1711.3408832550049
Epoch 122 : Train Acc:  96.9%, Dev Acc:  82.8%, Dev Loss: 0.197, Time: 1725.5376951694489
Epoch 123 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.149, Time: 1739.731507062912
Epoch 124 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.085, Time: 1753.9443199634552
Epoch 125 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.128, Time: 1768.2011353969574
Epoch 126 : Train Acc:  96.9%, Dev Acc:  89.1%, Dev Loss: 0.186, Time: 1782.4109480381012
Epoch 127 : Train Acc:  96.9%, Dev Acc:  92.2%, Dev Loss: 0.104, Time: 1796.6207609176636
Epoch 128 : Train Acc:  98.4%, Dev Acc:  82.8%, Dev Loss: 0.206, Time: 1810.8465745449066
Epoch 129 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.164, Time: 1825.0423865318298
Epoch 130 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.087, Time: 1839.2521991729736
Epoch 131 : Train Acc:  98.4%, Dev Acc:  90.6%, Dev Loss: 0.147, Time: 1853.4650123119354
Epoch 132 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.204, Time: 1867.6868257522583
Epoch 133 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.109, Time: 1881.8836374282837
Epoch 134 : Train Acc:  98.4%, Dev Acc:  82.8%, Dev Loss: 0.208, Time: 1896.0834498405457
Epoch 135 : Train Acc:  98.4%, Dev Acc:  87.5%, Dev Loss: 0.181, Time: 1910.2962627410889
Epoch 136 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.086, Time: 1924.4990751743317
Epoch 137 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.150, Time: 1938.7068877220154
Epoch 138 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.225, Time: 1952.9086999893188
Epoch 139 : Train Acc:  98.4%, Dev Acc:  92.2%, Dev Loss: 0.114, Time: 1967.119512796402
Epoch 140 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.214, Time: 1981.3403260707855
Epoch 141 : Train Acc:  98.4%, Dev Acc:  85.9%, Dev Loss: 0.201, Time: 1995.5461387634277
Epoch 142 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.092, Time: 2009.7529513835907
Epoch 143 : Train Acc:  98.4%, Dev Acc:  89.1%, Dev Loss: 0.151, Time: 2023.9647641181946
Epoch 144 : Train Acc:  98.4%, Dev Acc:  84.4%, Dev Loss: 0.251, Time: 2038.1775772571564
