Epoch   1 : Train Acc:  31.2%, Dev Acc:  37.5%, Dev Loss: 0.500
Epoch   2 : Train Acc:  65.6%, Dev Acc:  65.6%, Dev Loss: 0.331
Epoch   3 : Train Acc:  75.0%, Dev Acc:  62.5%, Dev Loss: 0.335
Epoch   4 : Train Acc:  84.4%, Dev Acc:  84.4%, Dev Loss: 0.155
Epoch   5 : Train Acc:  87.5%, Dev Acc:  78.1%, Dev Loss: 0.185
Epoch   6 : Train Acc:  84.4%, Dev Acc:  84.4%, Dev Loss: 0.155
Epoch   7 : Train Acc:  81.2%, Dev Acc:  78.1%, Dev Loss: 0.208
Epoch   8 : Train Acc:  90.6%, Dev Acc:  96.9%, Dev Loss: 0.061
Epoch   9 : Train Acc:  87.5%, Dev Acc:  84.4%, Dev Loss: 0.177
Epoch  10 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.129
Epoch  11 : Train Acc:  90.6%, Dev Acc:  87.5%, Dev Loss: 0.161
Epoch  12 : Train Acc:  90.6%, Dev Acc:  96.9%, Dev Loss: 0.064
Epoch  13 : Train Acc:  87.5%, Dev Acc:  87.5%, Dev Loss: 0.132
Epoch  14 : Train Acc:  87.5%, Dev Acc:  93.8%, Dev Loss: 0.062
Epoch  15 : Train Acc:  93.8%, Dev Acc:  93.8%, Dev Loss: 0.084
Epoch  16 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.229
Epoch  17 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.234
Epoch  18 : Train Acc:  96.9%, Dev Acc:  81.2%, Dev Loss: 0.213
Epoch  19 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.140
Epoch  20 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.057
Epoch  21 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.128
Epoch  22 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.072
Epoch  23 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.047
Epoch  24 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.316
Epoch  25 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.097
Epoch  26 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.186
Epoch  27 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.208
Epoch  28 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.277
Epoch  29 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.109
Epoch  30 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.245
Epoch  31 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.242
Epoch  32 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.437
Epoch  33 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.100
Epoch  34 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.244
Epoch  35 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.085
Epoch  36 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.192
Epoch  37 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.278
Epoch  38 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.275
Epoch  39 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.431
Epoch  40 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.068
Epoch  41 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.118
Epoch  42 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.091
Epoch  43 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.175
Epoch  44 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.114
Epoch  45 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.551
Epoch  46 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.155
Epoch  47 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.334
Epoch  48 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.287
Epoch  49 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.332
Epoch  50 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.060
Epoch  51 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.387
