Epoch   1 : Train Acc:  28.1%, Dev Acc:   0.0%, Dev Loss: 1.908
Epoch   2 : Train Acc:  71.9%, Dev Acc:  68.8%, Dev Loss: 0.872
Epoch   3 : Train Acc:  87.5%, Dev Acc:  87.5%, Dev Loss: 0.480
Epoch   4 : Train Acc:  93.8%, Dev Acc:  75.0%, Dev Loss: 0.576
Epoch   5 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.450
Epoch   6 : Train Acc:  93.8%, Dev Acc:  84.4%, Dev Loss: 0.487
Epoch   7 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.151
Epoch   8 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.248
Epoch   9 : Train Acc:  96.9%, Dev Acc:  75.0%, Dev Loss: 0.698
Epoch  10 : Train Acc:  96.9%, Dev Acc:  84.4%, Dev Loss: 0.648
Epoch  11 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.125
Epoch  12 : Train Acc:  96.9%, Dev Acc:  96.9%, Dev Loss: 0.170
Epoch  13 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.218
Epoch  14 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.267
Epoch  15 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.121
Epoch  16 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.289
Epoch  17 : Train Acc:  96.9%, Dev Acc:  93.8%, Dev Loss: 0.152
Epoch  18 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.314
Epoch  19 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.289
Epoch  20 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.439
Epoch  21 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.208
Epoch  22 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.472
Epoch  23 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.244
Epoch  24 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.228
Epoch  25 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.591
Epoch  26 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.405
Epoch  27 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.537
Epoch  28 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.108
Epoch  29 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.461
Epoch  30 : Train Acc: 100.0%, Dev Acc:  75.0%, Dev Loss: 1.248
Epoch  31 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.148
Epoch  32 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.103
Epoch  33 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.292
Epoch  34 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.575
Epoch  35 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.301
