Epoch   1 : Train Acc:  31.2%, Dev Acc:  15.6%, Dev Loss: 2.070
Epoch   2 : Train Acc:  62.5%, Dev Acc:  40.6%, Dev Loss: 1.289
Epoch   3 : Train Acc:  75.0%, Dev Acc:  84.4%, Dev Loss: 0.631
Epoch   4 : Train Acc:  84.4%, Dev Acc:  96.9%, Dev Loss: 0.312
Epoch   5 : Train Acc:  81.2%, Dev Acc:  84.4%, Dev Loss: 0.531
Epoch   6 : Train Acc:  84.4%, Dev Acc:  87.5%, Dev Loss: 0.429
Epoch   7 : Train Acc:  87.5%, Dev Acc:  87.5%, Dev Loss: 0.336
Epoch   8 : Train Acc:  90.6%, Dev Acc:  71.9%, Dev Loss: 0.685
Epoch   9 : Train Acc:  90.6%, Dev Acc:  78.1%, Dev Loss: 0.733
Epoch  10 : Train Acc:  90.6%, Dev Acc:  81.2%, Dev Loss: 0.601
Epoch  11 : Train Acc:  90.6%, Dev Acc:  75.0%, Dev Loss: 0.630
Epoch  12 : Train Acc:  90.6%, Dev Acc:  93.8%, Dev Loss: 0.335
Epoch  13 : Train Acc:  93.8%, Dev Acc:  87.5%, Dev Loss: 0.266
Epoch  14 : Train Acc:  93.8%, Dev Acc:  93.8%, Dev Loss: 0.146
Epoch  15 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.231
Epoch  16 : Train Acc:  96.9%, Dev Acc:  71.9%, Dev Loss: 0.664
Epoch  17 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.501
Epoch  18 : Train Acc:  96.9%, Dev Acc:  90.6%, Dev Loss: 0.290
Epoch  19 : Train Acc:  96.9%, Dev Acc:  87.5%, Dev Loss: 0.618
Epoch  20 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.928
Epoch  21 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.837
Epoch  22 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.088
Epoch  23 : Train Acc: 100.0%, Dev Acc:  71.9%, Dev Loss: 0.855
Epoch  24 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.487
Epoch  25 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.263
Epoch  26 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.188
Epoch  27 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 0.995
Epoch  28 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 0.653
Epoch  29 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.311
Epoch  30 : Train Acc: 100.0%, Dev Acc:  87.5%, Dev Loss: 0.751
Epoch  31 : Train Acc: 100.0%, Dev Acc:  62.5%, Dev Loss: 1.848
Epoch  32 : Train Acc: 100.0%, Dev Acc:  75.0%, Dev Loss: 1.389
Epoch  33 : Train Acc: 100.0%, Dev Acc:  84.4%, Dev Loss: 1.240
Epoch  34 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.718
Epoch  35 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.561
Epoch  36 : Train Acc: 100.0%, Dev Acc:  96.9%, Dev Loss: 0.127
Epoch  37 : Train Acc: 100.0%, Dev Acc:  93.8%, Dev Loss: 0.205
Epoch  38 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.071
Epoch  39 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 0.906
Epoch  40 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.744
Epoch  41 : Train Acc: 100.0%, Dev Acc:  90.6%, Dev Loss: 0.847
Epoch  42 : Train Acc: 100.0%, Dev Acc:  81.2%, Dev Loss: 1.777
Epoch  43 : Train Acc: 100.0%, Dev Acc:  78.1%, Dev Loss: 1.961
